Gene_Name,Correlation,P_Value
FBRSL1,0.183876686404159,P < 0.001
KLK2,0.162118656752393,P < 0.001
KLHL32,0.165008160470274,P < 0.001
APBA3,0.231377224454906,P < 0.001
FANK1,0.198272124191559,P < 0.001
FUZ,0.135242295129477,P < 0.001
CD80,0.267470898262912,P < 0.001
UBE2J1,0.223619142491297,P < 0.001
DTHD1,0.140433823913499,P < 0.001
PHF10,0.240703242788201,P < 0.001
LPAR4,0.19336451960777,P < 0.001
FAHD1,0.253378280842841,P < 0.001
CXCR4,0.235816448399221,P < 0.001
SP6,0.169548211512141,P < 0.001
ATF5,0.280353226422054,P < 0.001
GRXCR2,0.129311826448925,P < 0.001
RALGDS,0.135437973664633,P < 0.001
DUSP22,0.159853215638775,P < 0.001
LMOD3,0.164859240023617,P < 0.001
AAAS,0.136887759287801,P < 0.001
IFIT1,0.190973897946173,P < 0.001
SLC6A8,0.169248183858761,P < 0.001
ZNF43,0.170243177828189,P < 0.001
FAM135A,0.133693682220046,P < 0.001
SIRT4,0.155322911246421,P < 0.001
SLC16A11,0.135569498108143,P < 0.001
PIP4K2C,0.358022200033483,P < 0.001
ITGB7,0.167081546328709,P < 0.001
SIX3,0.189577582173528,P < 0.001
RABL6,0.124033389976317,P < 0.001
MBTPS2,0.143901282320867,P < 0.001
CRK,0.189637539303802,P < 0.001
NOB1,0.176039759874889,P < 0.001
TMEM170B,0.249817629761652,P < 0.001
GSN,0.295135147209817,P < 0.001
B3GALT1,0.168063186352132,P < 0.001
RHOD,0.276257246820351,P < 0.001
PAQR3,0.203461972080245,P < 0.001
GPD2,0.251358836302513,P < 0.001
CARD10,0.272245827041608,P < 0.001
FLRT1,0.169926452215435,P < 0.001
SLC35C1,0.160120146590337,P < 0.001
MAP2K5,0.232820041569034,P < 0.001
GULP1,0.321149354594993,P < 0.001
MYO1G,0.308944653449025,P < 0.001
GOLGA5,0.229954937834293,P < 0.001
KIF3B,0.317742053428574,P < 0.001
SETD9,0.178659051603294,P < 0.001
ZNF25,0.1652165789822,P < 0.001
PRDM8,0.146248495179257,P < 0.001
GABARAPL1,0.204028726110304,P < 0.001
IER5L,0.312284527441881,P < 0.001
TYRO3,0.134931419543409,P < 0.001
CAMK1D,0.161618662349219,P < 0.001
BFAR,0.119691418308851,P < 0.001
CLSPN,0.14167897612206,P < 0.001
CAAP1,0.178867904908438,P < 0.001
OXCT1,0.192550067645792,P < 0.001
TPRG1L,0.245245291081388,P < 0.001
CAPZA2,0.163408447858267,P < 0.001
PIF1,0.182949945750232,P < 0.001
ZFC3H1,0.254469870071034,P < 0.001
ELK4,0.146129531993402,P < 0.001
KRT73,0.141649112172901,P < 0.001
GRK6,0.143485689825225,P < 0.001
LIPG,0.201844591674215,P < 0.001
FREM1,0.151796567138176,P < 0.001
C9orf85,0.162109149999609,P < 0.001
STEAP4,0.14962968612247,P < 0.001
GPHA2,0.121643282823589,P < 0.001
ACP2,0.272097373962276,P < 0.001
ZNF445,0.371840297633727,P < 0.001
RPL38,0.187495883068167,P < 0.001
TSC22D2,0.207040622401741,P < 0.001
C12orf43,0.14710275553108,P < 0.001
ARHGEF2,0.178857232037715,P < 0.001
CCDC47,0.214295462096173,P < 0.001
LCP2,0.305643051158064,P < 0.001
ZMYM2,0.16698285600351,P < 0.001
ZBTB32,0.161274438013978,P < 0.001
NANOS1,0.218082230692374,P < 0.001
C17orf80,0.118693438391365,P < 0.001
MYB,0.311535060162243,P < 0.001
OTUB2,0.160257271031698,P < 0.001
EMILIN1,0.170984576563035,P < 0.001
PAFAH2,0.150514063315657,P < 0.001
TTBK2,0.261236362337287,P < 0.001
PARP11,0.303268732240035,P < 0.001
CERKL,0.290999589283423,P < 0.001
WDFY3,0.147437594272701,P < 0.001
CABS1,0.126559302499791,P < 0.001
FEV,0.144140884631359,P < 0.001
RNF166,0.241566339380842,P < 0.001
CAMLG,0.186487435271991,P < 0.001
CAMKV,0.226281178037389,P < 0.001
TAF5L,0.130104356483752,P < 0.001
PPEF2,0.16417775465238,P < 0.001
GRINA,0.151968016874634,P < 0.001
ASAH1,0.158001788545231,P < 0.001
METAP1,0.149235417245012,P < 0.001
NUP58_ENST00000381718,0.257149794769915,P < 0.001
LRRIQ3,0.191453348640211,P < 0.001
ERGIC3,0.18587051666926,P < 0.001
ERCC5,0.183303911709688,P < 0.001
TRMT13,0.289320120118769,P < 0.001
DHRS1,0.128623424225609,P < 0.001
E2F4,0.159832598495997,P < 0.001
DAB1,0.168318952911791,P < 0.001
SNTG2,0.168825173043545,P < 0.001
C9orf50,0.161109019353395,P < 0.001
C20orf96,0.195484442301514,P < 0.001
AUTS2,0.188697279486445,P < 0.001
FANCB,0.159010527940087,P < 0.001
PPP3CC,0.257776843965566,P < 0.001
GSTM3,0.180450624148321,P < 0.001
KCNMB1,0.193831506026692,P < 0.001
PNPLA3,0.168709853874155,P < 0.001
PKNOX1,0.18082086916379,P < 0.001
QSOX2,0.257103466753693,P < 0.001
AIFM2,0.152865488312331,P < 0.001
TRANK1,0.205766897187982,P < 0.001
NCL,0.244226400236779,P < 0.001
RPL3,0.261014396569133,P < 0.001
DNTT,0.166814326323516,P < 0.001
PIH1D3,0.188123987857463,P < 0.001
TNFSF4,0.133680463734262,P < 0.001
MET,0.326144592241571,P < 0.001
ATAD5,0.227450749226195,P < 0.001
TRIM52,0.128641430599483,P < 0.001
POLI,0.194719120989151,P < 0.001
KCNE4,0.140998559678067,P < 0.001
THAP1,0.173878266895497,P < 0.001
GANAB,0.154009456163927,P < 0.001
PPP2R2C,0.177370681472368,P < 0.001
NASP,0.204004169726501,P < 0.001
CNKSR1,0.244693117971792,P < 0.001
MICAL1,0.242633651532809,P < 0.001
AMPD2,0.164911125657497,P < 0.001
TRIM65,0.175650624866101,P < 0.001
CEPT1,0.274906422104728,P < 0.001
N4BP2L1,0.316224342223555,P < 0.001
CPSF4,0.138543955996472,P < 0.001
CDK8,0.173936240240675,P < 0.001
CYSLTR2,0.130156670614397,P < 0.001
TMEM9,0.214667462137362,P < 0.001
TRAPPC3L,0.137004921427637,P < 0.001
ABRAXAS2,0.185636690928583,P < 0.001
SGIP1,0.131792284522065,P < 0.001
ITPR3,0.196898919050094,P < 0.001
PCDHGA1,0.143242178068967,P < 0.001
SERINC1,0.123285730238504,P < 0.001
IKZF5,0.301249239427449,P < 0.001
C1orf115,0.19279939958628,P < 0.001
VENTX,0.141414148460236,P < 0.001
ACP6,0.1686755584011,P < 0.001
MUC1,0.241817541788328,P < 0.001
BCAT1,0.24756003910587,P < 0.001
TNFRSF12A,0.335391848488003,P < 0.001
AGAP4,0.175570180653542,P < 0.001
ELOB_ENST00000409477,0.127532059328588,P < 0.001
FRMD6,0.160546656269115,P < 0.001
ZNF70,0.194989285421645,P < 0.001
ZRANB3,0.1847224703147,P < 0.001
HNRNPK,0.158597895184479,P < 0.001
VSIG4,0.164678540704574,P < 0.001
PPP1R13L,0.253904651587637,P < 0.001
MEX3B,0.171327042918013,P < 0.001
TBC1D1,0.232198532000085,P < 0.001
ASMTL,0.174348073884906,P < 0.001
HVCN1,0.319502395060824,P < 0.001
MOV10L1,0.124152096690604,P < 0.001
PAPPA2,0.146626723372962,P < 0.001
MANEA,0.18846333374609,P < 0.001
CUX2,0.212509189780531,P < 0.001
TCEAL1,0.20079851110839,P < 0.001
GPX2,0.171893755736614,P < 0.001
DCAF1,0.31040512501369,P < 0.001
CDH22,0.159753857665195,P < 0.001
ABCC2,0.181932099739675,P < 0.001
ZNF789,0.135880118534938,P < 0.001
GDF6,0.15048001960655,P < 0.001
TNFAIP8,0.242395665712509,P < 0.001
PPP3CB,0.202308906474545,P < 0.001
SC5D_ENST00000392789,0.20637932267349,P < 0.001
TIGIT,0.122667471173316,P < 0.001
ZNF462,0.143933456583588,P < 0.001
NSMCE4A,0.198415816889041,P < 0.001
TMEM150A,0.234407700830095,P < 0.001
KLHL17,0.149142316426819,P < 0.001
ANXA5,0.221141598561665,P < 0.001
FBL,0.226910148888683,P < 0.001
COPS4,0.172722817739431,P < 0.001
IL12B,0.154556753879141,P < 0.001
CPE,0.133685757435594,P < 0.001
ADARB1,0.18976757968662,P < 0.001
OSGEP,0.167283266683447,P < 0.001
CRLF3,0.321770806981809,P < 0.001
PPP1R26,0.208353728389272,P < 0.001
USP19,0.235129218048288,P < 0.001
NAAA,0.13014275291807,P < 0.001
TATDN2,0.146982232131258,P < 0.001
RCC1,0.142575613693574,P < 0.001
TPP2,0.269930831990451,P < 0.001
STK33,0.18643391216111,P < 0.001
KRT7,0.271455864195509,P < 0.001
LRCH3,0.155923309565206,P < 0.001
TOP3A,0.159927962615328,P < 0.001
DISC1,0.185459518231131,P < 0.001
DIS3,0.218495996257989,P < 0.001
